Title,Detail,Date,Price(in dollar),Offer price(in dollar),Review and rating,Number of bed
"Hut in Guarne, Colombia",Refugio LOS PAPIROS,Jun 4 - 9,18,,4.89 (66),3 beds
"Room in Acapulco, Mexico",Beach crab.,Jun 1 - 6,43,,4.74 (270),3 beds
"Nature lodge in Las Galeras, Dominican Republic","Casa El Paraiso, Las Galeras (room #5)",Jun 10 - 15,286,,4.94 (270),3 beds
"Room in Monteverde, Costa Rica",Holistic House Diamond,Jun 5 - 11,160,,4.96 (274),3 beds
"Tiny home in Malibu, California, US","Malibu Serene Guest House, Mins to Beach & Hike",Jun 25 - 30,252,,4.77 (298),3 beds
"Apartment in Cancún, Mexico",Free Transportation / Premium Beach Loft 1711th,Jun 1 - 6,138,,5.0 (15),3 beds
"Cabin in Gilmour, Canada",Cozy cabin on 5 acres !,Jun 4 - 9,86,114,4.73 (124),2 beds
"Condo in Ocean City, Maryland, US",OceanfrontStudio-Slps4-Pool-Pickleball-HBOMax-Dis+,Jun 9 - 16,291,191,4.94 (80),2 beds
"Condo in Rosarito, Mexico",LUXE & STYLISH/3BR/LAS OLAS CONDO/12TH FLR/ROSARITO,Jun 11 - 16,173,138,4.8 (207),4 beds
"Room in New York, New York, US","Lovely Private Room-Manhattan, 70s-Upper East Side",Jul 9 - 14,103,89,4.93 (30),1 bed
"Apartment in Marina del Rey, California, US",Romantic Ocean Penthouse w/ panoramic marina views,Jun 1 - 8,247,,4.77 (111),1 bed
"Hotel in Tepoztlán, Mexico",Posada Sarita,Jun 3 - 10,50,,4.56 (176),3 beds
"Cottage in Oceanside, California, US","Beach Bungalow on the Sand, Steps to the Ocean",Jun 3 - 8,483,,4.93 (213),2 beds
"Apartment in Los Angeles, California, US",Historic Venice Apt 1/2 blocks to beach+parking,Nov 16 - 21,185,,4.94 (431),2 beds
"Home in Cape Coral, Florida, US",Amazing Modern Home with Pool and Hot Tub!,Jul 11 - 16,167,,4.84 (136),2 beds
"Condo in Malibu, California, US","Malibu, Carbon Beach - Suite Three",Jun 4 - 9,649,,4.8 (425),3 beds
"Tiny home in Mill Village, Canada",UpStream (Waterfront Cabin With Wood Stove & WiFi),Jun 25 - 30,97,,4.87 (101),1 bed
"Place to stay in Tepoztlán, Mexico",M6. Alojamiento ideal para explorar Tepoztlán,Jun 25 - Jul 1,40,,4.86 (28),1 bed
"Cabin in Mineral Bluff, Georgia, US",Scenic Solitude-Amazing Mountain views on 5 acres,Jun 4 - 9,302,175,5.0 (44),2 beds
"Room in New York, New York, US","Lovely Private Room-Manhattan, 70s-Upper East Side",Jul 9 - 14,103,114,4.93 (30),1 bed
"Condo in Luquillo, Puerto Rico",“Playa Luna”- Breathtaking Ocean and City Views,Jul 2 - 7,138,89,4.88 (159),1 bed
"Treehouse in Sundridge, Canada",Lount Treetop Rentals - Unit 2,Jun 1 - 6,135,48,4.97 (173),1 bed
"Apartment in Marina del Rey, California, US",Romantic Ocean Penthouse w/ panoramic marina views,Jun 1 - 8,247,,4.77 (111),2 beds
"Hotel in Tepoztlán, Mexico",Posada Sarita,Jun 3 - 10,50,,4.56 (176),3 beds
"Apartment in Galveston, Texas, US",Beach Front Condo In Casa Del Mar,Jun 18 - 24,205,,4.72 (389),2 beds
"Apartment in Laguna Beach, California, US",Laguna Beach Studio Oceanviews 49,Jun 1 - 6,148,,4.36 (273),2 beds
"Place to stay in Hopatcong, New Jersey, US",Lake Sports Home & Super water sports!,Aug 20 - 25,154,233,5.0 (18),3 beds
"Cabin in Reaboro, Canada",Cedar Springs Cabin - A Cozy Hideaway in the Woods,Jun 16 - 21,346,,4.97 (76),2 beds
"Apartment in San José del Cabo, Mexico",Beachfront at its finest @ San Jose del Cabo! 🤩🏄🏼‍♂️🏖,Jun 22 - 29,78,,4.75 (186),1 bed
"Cabin in Puerto Viejo de Talamanca, Costa Rica",Tiny Beach front house,Jul 24 - 29,89,,4.73 (140),2 beds
"Home in Hamilton, Canada",Stunning house on lake Ontario,Jun 25 - 30,210,,4.9 (192),2 beds
"Room in Key West, Florida, US",1-Private room/bbq/patio. 2 full bed 1 couch bed.,Jul 29 - Aug 3,258,,4.83 (40),2 beds
"Boat in Stuart, Florida, US",House Boat Sunset Bay Marina Stuart Fl,Sep 10 - 15,127,,4.92 (279),2 beds
"Apartment in Guanacaste Province, Costa Rica",Surf Shack Guiones - perfect beach location,Jun 17 - 24,130,,4.82 (278),2 beds
"Condo in Honolulu, Hawaii, US",23FL Skyline King Studio w/Ocean & City Views.,Jun 12 - 18,221,174,4.95 (41),2 beds
"Boutique hotel in Miami Beach, Florida, US",Room 2 Queen beds- Buffet Breakfast-Steps to beach,Jun 5 - 10,116,139,4.38 (156),2 beds
"Condo in Atlantic City, New Jersey, US",Beachfront Condo Now Available! Sleeps 4 + Parking,Jun 4 - 9,133,,4.51 (88),2 beds
"Bungalow in Puerto Viejo de Talamanca, Costa Rica",CASA BADAWI in 400m Tropical Garden. Optical Fiber,Jun 6 - 11,72,,4.96 (108),2 beds
"Apartment in Santa Teresa Beach, Costa Rica",Beachside Apartment with Pool,Jun 10 - 15,117,,4.84 (270),2 beds
"Condo in Miami Beach, Florida, US",Oceanfront 16th Floor Brand New Beachfront Flat,Jun 7 - 12,302,,4.83 (683),1 bed
"Chalet in Matapalo, Costa Rica","House1 private swming pool, BBQ ranch, wifi 200mb",Jun 26 - Jul 1,43,,4.83 (108),4 beds
"Apartment in Yachats, Oregon, US",Beachfront Escape Unit #1 at Beachcomber Cottages,Jun 20 - 25,212,,4.54 (151),2 beds
"Condo in Luquillo, Puerto Rico",AHHH-MAZING VIEWS! Beach Front Apt.,Sep 6 - 12,121,,4.88 (490),2 beds
"Apartment in Miami Beach, Florida, US","Modern 1/1, Half a Block from The Ocean",Jun 12 - 17,140,92,4.75 (308),2 beds
"Apartment in Cancún, Mexico",Cancun Suites (Standard Room),Jul 2 - 8,81,140,4.47 (192),3 beds
"Room in La Habana, Cuba",Camera argento in tipica casa coloniale,Jun 19 - 24,42,,4.81 (168),3 beds
"Room in Kihei, Hawaii, US","GARDEN ROOM, private bathroom, separate entrance",Jun 24 - 29,184,,4.96 (284),2 beds
"Home in Jurków, Poland",Beachfront Cottage on the Lake,Jun 11 - 16,140,141,4.72 (25),4 beds
"Farm stay in Şarköy, Turkey",Off-Grid vineyard and olive orchard home.,Jun 7 - 13,144,136,5.0 (9),3 beds
"Cabin in Hvanneyri, Iceland",Mirror House Iceland,Sep 1 - 6,735,75,New,1 bed
"Condo in Fiumicino, Italy",LOVE Attic,Jun 4 - 9,209,,4.85 (178),2 beds
"Place to stay in Hol, Norway",Unik Hobbit Cabin,Jun 1 - 6,221,,4.84 (239),2 beds
"Farm stay in Nyköping S, Sweden",Simple guesthouse on a farm. Double bed and sofa bed. Free Wi-Fi and parking. WC and living room/kitchenette in separate building,Jun 26 - Jul 1,73,,4.89 (18),2 beds
"Home in Viana do Castelo, Portugal",Amonde Village - Casa P * Comfort & Quality,Jun 18 - 25,168,,4.98 (51),3 beds
"Tower in Gombola, Italy",Tower house Gombola,Jun 4 - 9,166,,4.87 (45),3 beds
"Cabin in Darżkowo, Poland",hut in the mid. of nowhere + priv pond+3 ha,Jun 1 - 6,181,,4.79 (396),2 beds
"Room in Dassel, Germany",Alte Wassermühle Friedrichshausen - Eulenstube,Jun 10 - 15,55,,4.96 (25),3 beds
"Farm stay in Montregard, France",Vovady Farm : Roulotte Bohème,Jun 1 - 6,82,,4.85 (34),3 beds
"Cabin in Gällstad, Sweden",Cabin on the countryside close to the small city.,Jun 10 - 15,111,136,4.71 (51),5 beds
"Cabin in Trasquera, Italy",La Barona Chalet,Jun 4 - 9,223,167,4.99 (240),1 bed
"Shepherd’s hut in Hessisch Lichtenau, Germany","""Lieblingsplatz"" shepherd's hut",Jun 2 - 7,55,,4.96 (24),2 beds
"Tiny home in Draperstown, UK",The Black Shack @ Bancran School,Aug 4 - 9,169,,4.97 (304),3 beds
"Apartment in Biarritz, France",Biarritz Grande Plage 25m2 with Balcony,Jun 1 - 6,176,,4.91 (316),2 beds
"Trullo in Ostuni, Italy",TRULLO ISABELLA,Jun 25 - 30,158,,4.98 (95),4 beds
"Farm stay in Girvan, UK",Secluded Hand crafted log cabin,Jun 5 - 10,139,,5.0 (68),1 bed
"Home in Miazzina, Italy","Baita Vrei (2)""Titta"" - Hut Lago Maggiore",Jun 4 - 9,61,,4.84 (63),2 beds
"Tiny home in Poltimore, UK",Tranquil retreat with fantastic countryside views,Aug 2 - 7,115,,4.92 (227),2 beds
"Villa in Pollina, Italy",Romantic and one-of-a-kind Beachouse,Oct 12 - 17,183,,4.88 (48),4 beds
"Apartment in Rodos, Greece",Central 1bedroom apt by the sea,Oct 10 - 15,61,,4.76 (214),2 beds
"Tiny home in Midmar, UK",Cosy Romantic Cabin with Wood Burning Stove.,Jun 11 - 16,107,,4.96 (274),2 beds
"Farm stay in Agello, Italy",Historic residence surrounded by olive trees,Jun 12 - 17,75,115,4.98 (46),2 beds
"Castle in Vay, France","Stay in the castle, with family or friends",Jun 18 - 23,92,118,4.94 (169),4 beds
"Room in Aljezur, Portugal",XS Village - Arrifana Suite (private bathroom),Jun 24 - 29,100,,4.96 (25),2 beds
"Barn in Rattray, UK",The Loft at the Bonnington Farm,Jun 15 - 21,135,,4.89 (423),1 bed
"Hotel room in Muratpaşa, Turkey",KALEİÇİ BACCHUS OTEL DENİZ MANZARALI TATİL 501,Jun 25 - 30,83,,4.73 (230),1 bed
"Earthen home in Bronwydd Arms, UK",strawbale roundhouse for vegetarian,Jun 29 - Jul 4,108,,4.9 (297),2 beds
"Room in Behren-Lübchin, Germany",Wohnung Ruth Herrenhaus Viecheln Anno 1869,Jun 11 - 16,121,,4.97 (34),2 beds
"Home in Rémalard, France","Moulin de Boiscorde, ideal for couples and families",Jun 2 - 7,128,,4.9 (41),3 beds
"Farm stay in Montepulciano, Italy",Rural Tuscany | Wine farm with pool | Terrarossa,Jun 14 - 20,148,,4.33 (6),5 beds
"Cabin in Nowy Targ, Poland",Gruszkówka 1 Cottage (7 km from Białka ),Jun 18 - 25,96,,4.98 (86),1 bed
"Shepherd’s hut in Hollacombe, UK",Woodland Stargazing Cabin,Jun 2 - 7,133,,4.83 (174),1 bed
"Room in London, UK",Room available in Greater London suburb home,May 1 - 6,43,,4.98 (94),1 bed
"Apartment in Megalochori, Greece",Casa Tua,Jun 4 - 9,142,,4.66 (68),1 bed
"Farm stay in Catsfield, UK",CABIN X GPF,Jun 25 - 30,225,,4.99 (239),1 bed
"Room in La Zubia, Spain",Alhambra Trails 2,Jun 6 - 13,94,84,4.78 (36),2 beds
"Chalet in Afa, France",""" La cabane du Gozzi""",Jun 1 - 6,85,66,4.79 (346),2 beds
"Apartment in Ericeira, Portugal",FLH Ericeira Ocean Flat,Jul 16 - 21,216,157,4.45 (187),3 beds
"Room in Rouffignac-de-Sigoulès, France",manoir 19 ème siècle LE COUTUREAU isaline,Jun 1 - 6,135,,5.0 (11),1 bed
"Guesthouse in Esche, Germany",Guesthouse an der Vechte,Jul 22 - 27,50,,4.94 (104),2 beds
"Room in Torreglia, Italy",Country House,Jun 11 - 16,69,,4.94 (84),3 beds
"Cave in Mesaria, Greece",Luxury Triple cave room,Jun 12 - 17,129,,4.72 (32),4 beds
"Nature lodge in Highland Council, UK",Elegant Little Wyvis Lodge - Sleeps 2,Jun 2 - 7,159,,4.96 (95),3 beds
"Cabin in Totana, Spain",Rural Aledo - El Estrecho,Jun 18 - 25,76,,4.78 (24),4 beds
"Room in Torreglia, Italy",Country House,Jun 11 - 16,69,66,4.94 (84),2 beds
"Cave in Mesaria, Greece",Luxury Triple cave room,Jun 12 - 17,129,157,4.72 (32),3 beds
"Castle in Winningen, Germany",Magazine - Oskar Schwebel -,Jun 11 - 16,136,99,4.66 (277),4 beds
"Vacation home in Akrotiri, Greece",The North Windmill ⚓ Unique House with View,Jun 9 - 14,184,,4.98 (46),4 beds
"Cabin in Llandissilio, UK",The Llama Lodge - a Log Cabin on a Llama Farm,Jun 4 - 9,205,,4.95 (111),2 beds
"Cottage in Trefeinon, UK",Bumble Bee Cottage,Jun 11 - 16,141,,4.93 (410),4 beds
"Yurt in Cynwyd, UK",Gorgeous yurt in amazing mountain/forest location,Jul 12 - 17,107,,4.91 (339),1 bed
"Apartment in Athina, Greece","Diamond Home 1, romantic gem, 20 min to Acropolis",Jul 5 - 10,112,,4.79 (217),4 beds
"Trullo in Alberobello, Italy",TrulLetto,Jun 4 - 9,114,,4.85 (52),3 beds
"Room in Berlin, Germany",Friedrichshain Beautiful Sunny Room with Balcony,Jul 25 - 31,135,73,5.0 (6),2 beds
"Room in Santa Lucia, Italy",Star Night Room - Van Gogh Hills B&B,Jun 1 - 6,68,,4.91 (23),3 beds
"Barn in Nes På Hedmark, Norway","Sommerfjøset on Hovelsrud, Helgøya",Jul 14 - 20,328,,4.96 (136),2 beds
"Shipping container in Dirlaught, Ireland",Amazing shipping container house + sea views+ WIFI,Aug 7 - 12,164,,4.91 (43),1 bed
"Apartment in Kadıköy, Turkey",Studio apartment with AC - Suite 3,Jun 17 - 22,34,,5.0 (3),3 beds
"Bungalow in Izmir, Turkey",İzmir Bungalow. ( Urla treehouse 1),Jun 8 - 13,74,,4.82 (223),1 bed
"Guesthouse in Perranwell Station, UK",The Folly - Cornwall,Jun 18 - 23,111,,5.0 (11),1 bed
"Apartment in Areti, Greece",Echoes Exclusive Suite,Jun 29 - Jul 6,526,,4.98 (40),2 beds
"Cabin in Millbrook, UK",Romantic Ocean View Couples Retreat Cornwall,Jun 10 - 15,357,,5.0 (61),2 beds
"Guest suite in La Marsa, Tunisia",THE AQUARIUM … waterfront 🧜🏾‍♂️,Jun 26 - Jul 1,61,,4.72 (103),3 beds
"Cottage in Benalauría, Spain","""La Parra"", rural tourism. Your home in paradise.",Sep 16 - 21,67,,4.99 (335),1 bed
"Tiny home in Muldenhammer, Germany",Hascherle Hitt,Jun 5 - 10,86,,5.0 (57),2 beds
"Home in Audierne, France",Villa Trouz Ar Mor,Jul 1 - 6,135,,4.85 (13),2 beds
"Guesthouse in Perranwell Station, UK",The Folly - Cornwall,Jun 18 - 23,111,,5.0 (11),1 bed
"Apartment in Areti, Greece",Echoes Exclusive Suite,Jun 29 - Jul 6,526,,4.98 (40),1 bed
"Dome in Wapnica, Poland",Delightfull Dome with Hot tub & sauna on the beach,Jun 3 - 8,319,,4.98 (52),2 beds
"Guest suite in La Marsa, Tunisia",THE AQUARIUM … waterfront 🧜🏾‍♂️,Jun 26 - Jul 1,61,,4.72 (103),2 beds
"Guesthouse in Jonstorp, Sweden",Gäststuga Knorrasjön,Jun 12 - 17,95,,New,3 beds
"Cabin in La Atalaya, Spain",Cabaña ecológica de madera en la naturaleza,Jun 11 - 16,80,,4.79 (14),3 beds
"Tiny home in Vouzela, Portugal",Gallas Pod House,Jun 1 - 6,57,,5.0 (25),2 beds
"Tiny home in Muldenhammer, Germany",Hascherle Hitt,Jun 5 - 10,86,,5.0 (57),1 bed
"Apartment in Thessaloniki, Greece",Waterfront #41Design - CozyCityCenter Flat,Jul 8 - 13,70,,4.84 (546),2 beds
"Home in Audierne, France",Villa Trouz Ar Mor,Jul 1 - 6,135,,4.85 (13),2 beds
"Yurt in Finestrat, Spain",Yurt op Off-Grid Homestead,Jun 4 - 9,49,,4.92 (38),1 bed
"Apartment in Kotor, Montenegro",💎Boka Bay view apartment.💎,Jul 8 - 14,93,102,4.69 (218),3 beds
"Home in Chalkida, Greece",Seaside & Garden Single family home,Jun 8 - 13,104,124,4.94 (33),2 beds
"Home in Skopelos, Greece",Del Sol. Studio across the sea 1.,Jun 1 - 6,61,259,New,2 beds
"Loft in Baošići, Montenegro",Porto Bello Lux ( Sea View & Swimming Pool),Jun 5 - 10,58,,4.9 (110),4 beds
"Home in Atouguia da Baleia, Portugal","Spectacular view of Supertubos beach, Peniche",Oct 1 - 6,126,,4.82 (34),3 beds
"Home in Bad Sankt Leonhard im Lavanttal, Austria",1A chalet resting crickets + hiking with indoor sauna,Jun 22 - 27,123,,4.67 (110),3 beds
"Vacation home in Punta Prima, Spain",Beachfront apartment with perfect seaview,Jun 1 - 6,231,,4.85 (204),4 beds
"Home in Vaiano, Italy",Casale La Quercia - Tuscany country house,Jun 21 - 26,111,,4.94 (530),2 beds
"Cabin in County Wicklow, Ireland",House with breathtaking views!,Jul 16 - 21,222,,4.97 (104),3 beds
"Home in Las Negras, Spain",La Casita de Las Negras,Jun 14 - 19,370,,4.85 (26),4 beds
"Cabin in Serrazone, Italy",King's Windmill - A little house in the woods,Jul 21 - 26,111,,4.54 (201),2 beds
"Lighthouse in Ploemeur, France",Q3 BNB Premium Residence - The Engineering Tower,Jun 5 - 10,147,,4.8 (10),1 bed
"Campsite in Rif, Iceland",Washitsu.Casa camper Parking place w/house access,Jun 1 - 6,16,,None,1 bed
"Home in Chalkida, Greece",Seaside & Garden Single family home,Jun 8 - 13,104,154,4.94 (33),2 beds
"Home in Skopelos, Greece",Del Sol. Studio across the sea 1.,Jun 1 - 6,61,73,New,2 beds
"Loft in Baošići, Montenegro",Porto Bello Lux ( Sea View & Swimming Pool),Jun 5 - 10,58,124,4.9 (110),4 beds
"Shepherd’s hut in County Durham, UK",Ben's hat,Jun 18 - 23,82,113,4.92 (356),2 beds
"Home in Bad Sankt Leonhard im Lavanttal, Austria",1A chalet resting crickets + hiking with indoor sauna,Jun 22 - 27,123,,4.67 (110),3 beds
"Vacation home in Punta Prima, Spain",Beachfront apartment with perfect seaview,Jun 1 - 6,231,,4.85 (204),4 beds
"Room in Wien, Austria",Central luxury /Hauptbahnhof,Sep 17 - 22,92,,5.0 (9),3 beds
"Cabin in County Wicklow, Ireland",House with breathtaking views!,Jul 16 - 21,222,,4.85 (26),2 beds
"Cabin in Serrazone, Italy",King's Windmill - A little house in the woods,Jul 21 - 26,111,,4.54 (201),1 bed
"Treehouse in Mons, France",Delightful rustic treehouse,Jun 1 - 6,42,,4.67 (9),1 bed
"Condo in Roviano, Italy",Apartment-Mansarda Vista Castello,Jun 8 - 13,61,,5.0 (8),4 beds
"Home in Jumilhac-le-Grand, France",Bettyjems Stage Refuge,Jun 21 - 28,20,,None,4 beds
